submission_id,pia_conducted,pia_description_en,pia_description_fr,privacy_by_design,closed_system,data_sharing_agreement,de_identification_applied,de_identification_method_en,de_identification_method_fr
47,1,,,1,0,1,,,
48,1,item1-1,,1,0,1,,,
53,0,,,1,0,0,,,
54,1,,,1,0,0,,,
59,0,,,1,0,0,0,,
60,0,,,1,0,0,0,,
64,0,,,1,0,0,0,,
68,0,,,1,1,0,,,
75,1,"The PACT Program’s Privacy Impact Assessment will review the collection, use, disclosure, and retention of personal information collected as PLACI under the Canadian Aviation Security Regulations, 2012 (CASR 2012). Assessments of the privacy and security safeguards applied to the data repositories that contain the collected PLACI, and of the role and access controls of TC staff executing the PACT Program are also within the scope of the PIA. 

Through amendments to the CASR 2012, air carriers are required to submit a specific dataset for all inbound air cargo in support of air cargo security. Automating part of PACT’s processes allows for the collection, sorting and risk assessment of 100% of the submitted data. This rate of risk assessment was not deemed feasible without automation. 

The draft PIA is being reviewed by Transport Canada's ATIP division, and the timeline for its completion aligns with the coming into force of the regulations in fall 2024.","L’EFVP du programme de CFAPC examinera la collecte, l’utilisation, la divulgation et la conservation des renseignements personnels recueillis en tant que IPFAC PLACI en vertu du Règlement canadien de 2012 sur la sûreté aérienne (RCSA 2012).

L’évaluation des mesures de protection de la vie privée et de la sûreté appliquées aux référentiels de données qui contiennent les renseignements recueillis, ainsi que le rôle et les contrôles d’accès du personnel de TC chargé de l’exécution du programme de CFAPC, relève également du champ d’application de l’EFVP.

Sous l’effet de modifications apportées au RCSA 2012, les transporteurs aériens sont tenus de soumettre un ensemble de données particulier pour l’ensemble du fret aérien entrant afin de contribuer à la sûreté de ce dernier.

L’automatisation d’une partie des processus de CFAPC permet de collecter, de trier et d’évaluer les risques de toutes les données soumises. Ce taux d’évaluation des risques n’a pas été jugé réalisable sans automatisation.

L’ébauche de l’EFVP est en cours d’examen par la division de l’AIPRP de Transports Canada, et le calendrier de son achèvement s’harmonise avec l’entrée en vigueur du règlement à l’automne 2024.",1,0,1,0,,
83,1,,,1,0,0,,,
86,1,"Privacy Impact Assessment Report 

Canada Student Financial Assistance Program Repayment Assistance Plan – Enhanced Verification Model (CSFA RAP - EVM) 

Signed by Director General of the Canada Student Financial Assistance (CSFA) Program on November 11, 2023",,1,0,1,0,,
87,1,"Rapport d'évaluation des facteurs relatifs à la vie privée

Programme canadien d'aide financière aux étudiants – Programme d'aide au remboursement - Modèle de vérification amélioré (PCAFE PAR-MVA).

Signé par le directeur général du Programme canadien d'aide financière aux étudiants (PCAFE) le 11 novembre 2023",,1,0,1,0,,
89,0,,,1,0,0,,,
91,0,,,1,0,0,,,
95,1,"A Privacy Impact Assessment, entitled ""Record of Employment-Comment Artificial Intelligence Model"" was completed April 2021. The scope of the privacy assessment included the evaluation of the security and safeguards related to the technologies used, including encryption and access controls; the collection, use, and retention of personal information; accuracy and monitoring of the automated solution; accountability for the solution; and procedures related to individuals' right to access their own personal information and file complaints or inquiries about policies and practices related to handling of this information. The assessment was specifically focused on the implementation of the automated system, not on the broader EI program and existing processes.","Une Évaluation des incidences sur la vie privée, intitulée « Record of Employment-Comment Artificial Intelligence Model », a été achevée en avril 2021. La portée de l'évaluation de la protection de la vie privée comprenait l'évaluation de la sécurité et des garanties liées aux technologies utilisées, y compris le cryptage et les contrôles d'accès ; la collecte, l'utilisation et la conservation des informations personnelles ; l'exactitude et le contrôle de la solution automatisée ; la responsabilité de la solution ; et les procédures liées au droit des individus d'accéder à leurs propres informations personnelles et de déposer des plaintes ou des demandes de renseignements sur les politiques et les pratiques liées au traitement de ces informations. L'évaluation était spécifiquement axée sur la mise en œuvre du système automatisé, et non sur le programme d'AE dans son ensemble et sur les processus existants.",1,1,1,1,"Data are de-identified when provided to the AI system by removing personal information such as name, Social Insurance Number, and employer information. Outputs are similarly stored in a de-identified manner as well. Outputs are retained for a minimum of 12 years to align with the existing ROE retention period, deleted only when the ROE itself is deleted.","Les données sont dépersonnalisées lorsqu'elles sont fournies au système d'IA en supprimant les informations personnelles telles que le nom, le Numéro d'assurance sociale et les informations relatives à l'employeur. Les résultats sont également enregistrés de manière dépersonnalisée. Les résultats sont conservés pendant au moins 12 ans pour s'aligner sur la période de conservation existante des RE, et ne sont supprimés que lorsque le RE lui-même est supprimé."
97,1,"Canada Border Services Agency (CBSA)
Remote Reporting Program

CRES/ReportIn PIA is has been completed.
The scope of this PIA is to provide an overview of the CRES/ReportIn solution that has been established for the ATD Program, and assess the privacy risks associated with the introduction of the CRES/ReportIn solution.

Specifically, the scope of this PIA includes the following:
•	An overview of the upcoming use of the CRES/ReportIn solution
•	Facial comparison is used as a biometric identifier 

This description includes the following:
•	The systems used to support the CRES/ReportIn solution;
•	CRES/ReportIn events and subsequent activities related to evaluation and assignment of an investigation event in the National Case Management System;
•	The storage, retention and accessibility of CRES/ReportIn data.

In support of efforts to expand and improve ATDs, the CBSA has developed a voluntary smartphone app called ReportIn that allows individuals subject to immigration enforcement conditions to report to the CBSA remotely. Only those individuals expressly required to report to the CBSA as a condition of their release and choose ReportIn as the means of reporting will have access to create an account.

The CBSA will be launching CRES/ReportIn in Fall 2024 on a phased-in basis to provide enough time for the orderly transition of individuals. The app will allow for a reduction in in-person reporting or detention in situations where no current appropriate ATD exists. With the app, the CBSA also has an opportunity to build a more nationally consistent ATD that will be secure and more widely available.

The CRES/ReportIn solution is made up by the following major components: Smartphone Application: Prior to initializing the sign up process, the individual must download the CBSA ReportIn mobile app from either the Apple App store or the Google Play store, based upon the individuals’ device they are using. In order to protect the individuals’ Personal Identifiable Information (PII), a Secure Remote Password (SRP) is used between the individuals’ device and the CRES AWS environment.  Amazon Cognito is used as an authentication provider that supports OAuth 2.0, Security Assertion Markup Language (SAML) and SRP. The mobile app utilizes AWS Amplify to interface with Amazon Cognito using SRP. Through the Cognito SRP protocol, the mobile app is utilized to implement user sign-up, user sign-in, multi factor authentication and forgot password functionality, minimizing snooping or “Man in the Middle” attack risks.

CRES Web App & Database: The main processing and storage hub for the ReportIn solution is the CRES database, used to store ReportIn individual authentication data, and the web application. The web application is used by the CBSA staff to review and manage the active cases of individuals, as well as providing ongoing as well as historical reporting capabilities. The CRES console is the main interface used by CBSA staff and provides the staff the ability to manage multiple individuals and cases in a centralized location.

Facial recognition software: To validate the individual’s biometric facial data, the app requires the individual to provide multiple biometric facial photos that are used to identify the individual for the duration of their ATD enrollment. The Amazon Rekognition software is used to perform this authentication/validation requirement. The biometric facial photos are hosted in the AWS Government in Canada (GC) Private cloud located within Canadian datacenters to meet data residence requirements.",,1,0,1,0,,
99,1,"Agence des services frontaliers Canada (ASFC)
Programme de déclaration à distance

L’EVFP du SREC/JeMePrésente a été approuvé.
L’objectif de cette EVFP est de fournir un aperçu de la solution du SREC/JeMePrésente qui a été mise en place pour le Programme de SRD, et d’évaluer les risques liés à la vie privée associés à l’introduction de la solution du SREC/JeMePrésente.  

Plus précisément, la portée de cette EFVP comprend les éléments suivants:
•	Un aperçu de l’utilisation prochaine de la solution de SREC/JeMePrésente
•	La comparaison faciale est utilisée comme identificateur biométrique.

Cette description comprend ce qui suit :
•	Les systèmes utilisés pour soutenir la solution du SREC/JeMePrésente;
•	Événements du SREC/JeMePrésente et activités ultérieures liées à l’évaluation et à l’attribution d’un événement d’enquête dans le Système national de gestion des cas;
•	Le stockage, la conservation et l’accessibilité des données dans le SREC/JeMePrésente.

À l’appui des efforts visant à élargir et à améliorer les SRD, l’ASFC a développé une application, pour téléphone intelligent, utilisée sur une base volontaire, appelée JeMePrésente qui permet aux personnes soumises à des conditions d’exécution de l’immigration de faire une déclaration à distance à l’ASFC. Seules les personnes expressément tenues de se présenter à l’ASFC comme condition de leur libération et qui choisissent JeMePrésente comme moyen de déclaration auront accès à la création d’un compte.

L’ASFC lancera le SREC/JeMePrésente à l’automne 2024 de façon progressive afin de laisser suffisamment de temps pour une transition ordonnée des personnes. L’application permettra de réduire le nombre de signalements ou de détentions en personne dans les situations où il n’existe pas de SRD appropriée. Grâce à l’application, l’ASFC a également la possibilité de mettre en place un SRD plus uniforme à l’échelle nationale, qui sera sécurisé et plus largement disponible.

La solution du SREC/JeMePrésente est composée des principaux éléments suivants : Application pour téléphone intelligent : Avant de commencer le processus d’inscription, la personne doit télécharger l’application mobile JeMePrésente de l’ASFC dans l’App Store d’Apple ou Google Play Store, en fonction du dispositif qu’elle utilise. Afin de protéger les renseignements personnels identifiables (RPI) des personnes, un mot de passe sécurisé à distance (MPSD) est utilisé entre le dispositif des personnes et l’environnement AWS du SREC. Amazon Cognito est utilisé comme fournisseur d’authentification qui prend en charge OAuth 2.0, le langage SAML (langage de balisage des assertions de sécurité) et le mot de passe sécurisé à distance (MPSD). L’application mobile utilise AWS Amplify pour interagir avec Amazon Cognito à l’aide du MPSD. Grâce au protocole de MPSD de Cognito, l’application mobile est utilisée pour mettre en œuvre l’inscription des utilisateurs, la connexion des utilisateurs, l’authentification à facteurs multiples et la fonctionnalité de réinitialisation de mot de passe, réduisant ainsi les risques d’attaques de fouinard ou de l’intercepteur.

Application Web et base de données du SREC : La principale plateforme de traitement et de stockage pour la solution JeMePrésente est la base de données du SREC, utilisée pour stocker les données d’authentification individuelle de JeMePrésente, ainsi que l’application Web. L’application Web est utilisée par le personnel de l’ASFC pour examiner et gérer les cas actifs des personnes, ainsi que pour fournir des capacités de déclarations historiques. La console du SREC est l’interface principale utilisée par le personnel de l’ASFC et permet au personnel de gérer plusieurs personnes et cas à partir d’un emplacement centralisé.

Logiciel de reconnaissance faciale : Pour valider les données biométriques faciales de la personne, l’application demande à la personne de fournir plusieurs photos biométriques faciales qui sont utilisées pour l’identifier pendant toute la durée de son inscription au programme de SRD. Le logiciel Amazon Rekognition est utilisé pour remplir cette exigence d’authentification ou de validation. Les photos faciales biométriques sont hébergées dans le nuage privé du gouvernement du Canada (GC) d’AWS qui se trouve dans des centres de données canadiens pour répondre aux exigences de résidence des données.",,1,0,1,0,,
106,1,,,1,0,1,,,
109,1,,,1,0,1,,,
112,0,,,1,0,1,1,,
