id,answer_id,item_code,item_order
113,659,item5-0,0
114,659,item2-2,1
115,669,item3-1,0
116,697,item3,0
117,697,item4,1
118,697,item5,2
119,697,item7,3
120,697,item6,4
121,739,item5,0
122,740,item1,0
123,740,item5,1
124,740,item6,2
125,750,item6-1,0
126,773,item1-2,0
127,776,item2,0
128,776,item3,1
129,776,item4,2
130,776,item5,3
131,776,item6,4
132,776,item7,5
133,776,item9,6
134,779,item7,0
135,779,item10,1
136,779,item9,2
137,820,item4,0
138,820,item5,1
139,821,item4,0
140,821,item5,1
141,821,item6,2
142,831,item2-2,0
143,831,item5-0,1
144,831,item4-0,2
145,842,item6-1,0
146,871,item5,0
147,871,item6,1
148,871,item9,2
149,871,item10,3
150,914,item5,0
151,915,item1,0
152,923,item1-1,0
153,946,item2,0
154,946,item4,1
155,946,item5,2
156,946,item6,3
157,946,item7,4
158,946,item8,5
159,946,item3,6
160,948,item8,0
161,948,item10,1
162,948,item2,2
163,988,item2,0
164,988,item5,1
165,988,item1,2
166,988,item4,3
167,989,item1,0
168,989,item5,1
169,989,item6,2
170,998,item1-1,0
171,998,item3-1,1
172,1020,item2-4,0
173,1020,item1-2,1
174,1031,item5,0
175,1032,item1,0
176,1032,item5,1
177,1032,item6,2
178,1042,item6-1,0
179,1065,item1-2,0
180,1068,item2,0
181,1068,item4,1
182,1068,item5,2
183,1068,item6,3
184,1068,item7,4
185,1068,item3,5
186,1068,item8,6
187,1068,item9,7
188,1071,item10,0
189,1071,item2,1
190,1111,item1,0
191,1111,item5,1
192,1111,item2,2
193,1112,item2,0
194,1112,item6,1
195,1112,item3,2
196,1112,item5,3
197,1121,item4-1,0
198,1121,item1-1,1
199,1143,item2-4,0
200,1146,item3,0
201,1146,item4,1
202,1146,item5,2
203,1146,item6,3
204,1146,item7,4
205,1146,item8,5
206,1146,item2,6
207,1148,item9,0
208,1148,item10,1
209,1148,item8,2
210,1188,item3,0
211,1188,item5,1
212,1189,item4,0
213,1189,item5,1
214,1189,item2,2
215,1198,item4-0,0
216,1198,item6-0,1
217,1210,item6-1,0
218,1240,item2,0
219,1240,item3,1
220,1240,item4,2
221,1240,item5,3
222,1240,item6,4
223,1281,item3,0
224,1281,item5,1
225,1282,item4,0
226,1282,item5,1
227,1282,item2,2
228,1291,item4-0,0
229,1291,item6-0,1
230,1303,item6-1,0
231,1333,item2,0
232,1333,item3,1
233,1333,item4,2
234,1333,item5,3
235,1333,item6,4
236,1376,item5,0
237,1377,item1,0
238,1377,item2,1
239,1377,item4,2
240,1377,item5,3
241,1386,item2-2,0
242,1397,item6-1,0
243,1425,item1-2,0
244,1428,item2,0
245,1428,item4,1
246,1428,item5,2
247,1428,item6,3
248,1428,item7,4
249,1428,item14,5
250,1428,item9,6
251,1428,item8,7
252,1472,item5,0
253,1473,item1,0
254,1473,item5,1
255,1473,item6,2
256,1483,item6-1,0
257,1508,item2,0
258,1508,item4,1
259,1508,item5,2
260,1508,item6,3
261,1508,item7,4
262,1508,item8,5
263,1508,item9,6
264,1551,item2,0
265,1551,item3,1
266,1551,item4,2
267,1551,item5,3
268,1552,item2,0
269,1552,item3,1
270,1552,item4,2
271,1552,item5,3
272,1561,item1-3,0
273,1572,item6-1,0
274,1599,item1-2,0
275,1602,item3,0
276,1602,item2,1
277,1602,item5,2
278,1602,item6,3
279,1602,item7,4
280,1602,item8,5
281,1602,item4,6
282,1602,item9,7
283,1602,item13,8
284,1605,item8,0
285,1605,item9,1
286,1647,item2,0
287,1647,item4,1
288,1648,item2,0
289,1648,item5,1
290,1657,item6-1,0
291,1678,item1-2,0
292,1680,item7,0
293,1680,item8,1
294,1680,item6,2
295,1680,item5,3
296,1680,item4,4
297,1680,item3,5
298,1680,item2,6
299,1680,item9,7
300,1683,item8,0
301,1683,item2,1
302,1683,item10,2
303,1683,item9,3
304,1725,item5,0
305,1726,item2,0
306,1726,item5,1
307,1735,item2-2,0
308,1735,item6-0,1
309,1746,item2-1,0
310,1776,item2,0
311,1776,item4,1
312,1776,item5,2
313,1776,item7,3
314,1776,item9,4
315,1776,item14,5
316,1779,item8,0
317,1779,item12,1
318,1822,item5,0
319,1823,item2,0
320,1823,item5,1
321,1832,item2-2,0
322,1832,item6-0,1
323,1843,item2-1,0
324,1873,item2,0
325,1873,item4,1
326,1873,item5,2
327,1873,item7,3
328,1873,item9,4
329,1873,item14,5
330,1876,item8,0
331,1876,item12,1
332,1917,item5,0
333,1918,item1,0
334,1918,item6,1
335,1928,item6-1,0
336,1953,item2,0
337,1953,item3,1
338,1953,item4,2
339,1953,item5,3
340,1953,item6,4
341,1953,item7,5
342,1953,item8,6
343,1953,item9,7
344,1956,item10,0
345,1995,item5,0
346,1996,item1,0
347,1996,item6,1
348,2006,item6-1,0
349,2031,item2,0
350,2031,item3,1
351,2031,item4,2
352,2031,item5,3
353,2031,item6,4
354,2031,item7,5
355,2031,item8,6
356,2031,item9,7
357,2034,item10,0
358,2073,item2,0
359,2074,item3,0
360,2074,item5,1
361,2083,item5-0,0
362,2093,item3-1,0
363,2121,item1-2,0
364,2124,item2,0
365,2124,item3,1
366,2124,item4,2
367,2124,item5,3
368,2124,item6,4
369,2124,item13,5
370,2124,item10,6
371,2169,item1,0
372,2169,item5,1
373,2170,item1,0
374,2170,item4,1
375,2170,item5,2
376,2179,item6-0,0
377,2179,item2-2,1
378,2179,item3-0,2
379,2179,item1-3,3
380,2179,item4-0,4
381,2191,item6-1,0
382,2219,item2-4,0
383,2222,item6,0
384,2222,item5,1
385,2222,item4,2
386,2222,item7,3
387,2222,item14,4
388,2222,item16,5
389,2222,item17,6
390,2222,item10,7
391,2222,item3,8
392,2222,item13,9
393,2222,item2,10
394,2224,item14,0
395,2224,item13,1
396,2224,item2,2
397,2224,item12,3
398,2267,item1,0
399,2267,item5,1
400,2268,item1,0
401,2268,item4,1
402,2268,item5,2
403,2277,item6-0,0
404,2277,item2-2,1
405,2277,item3-0,2
406,2277,item1-3,3
407,2277,item4-0,4
408,2289,item6-1,0
409,2317,item2-4,0
410,2320,item6,0
411,2320,item5,1
412,2320,item4,2
413,2320,item7,3
414,2320,item14,4
415,2320,item16,5
416,2320,item17,6
417,2320,item10,7
418,2320,item3,8
419,2320,item13,9
420,2320,item2,10
421,2322,item14,0
422,2322,item13,1
423,2322,item2,2
424,2322,item12,3
425,2365,item4,0
426,2365,item5,1
427,2365,item1,2
428,2366,item3,0
429,2366,item5,1
430,2366,item6,2
431,2375,item4-1,0
432,2399,item2,0
433,2399,item3,1
434,2399,item4,2
435,2399,item5,3
436,2399,item6,4
437,2399,item7,5
438,2399,item8,6
439,2399,item9,7
440,2402,item10,0
441,2443,item4,0
442,2443,item5,1
443,2443,item1,2
444,2444,item3,0
445,2444,item5,1
446,2444,item6,2
447,2453,item4-1,0
448,2477,item2,0
449,2477,item3,1
450,2477,item4,2
451,2477,item5,3
452,2477,item6,4
453,2477,item7,5
454,2477,item8,6
455,2477,item9,7
456,2480,item10,0
457,2521,item5,0
458,2521,item3,1
459,2522,item1,0
460,2522,item5,1
461,2522,item6,2
462,2532,item2-2,0
463,2532,item5-0,1
464,2543,item6-1,0
465,2571,item1-2,0
466,2574,item2,0
467,2574,item3,1
468,2574,item4,2
469,2574,item5,3
470,2574,item6,4
471,2574,item7,5
472,2574,item8,6
473,2574,item10,7
474,2574,item9,8
475,2577,item11,0
